chromosome,gene_id,transcript_id,gene_name,strand
chr11,ENSG00000172365.4,ENST00000641342.2,OR5B2,-
chr11,ENSG00000172362.4,ENST00000641921.2,OR5B12,-
chr11,ENSG00000198283.3,ENST00000360374.3,OR5B21,-
chr11,ENSG00000110031.13,ENST00000395074.7,LPXN,-
chr11,ENSG00000186660.15,ENST00000316059.7,ZFP91,+
chr11,ENSG00000242689.3,ENST00000361987.6,CNTF,+
chr11,ENSG00000149124.11,ENST00000344743.8,GLYAT,-
chr11,ENSG00000156689.7,ENST00000287275.6,GLYATL2,-
chr11,ENSG00000166840.14,ENST00000532726.6,GLYATL1,+
chr11,ENSG00000255151.2,ENST00000527482.2,GLYATL1B,+
chr11,ENSG00000189057.11,ENST00000343597.4,FAM111B,+
chr11,ENSG00000166801.17,ENST00000675163.1,FAM111A,+
chr11,ENSG00000110042.8,ENST00000227451.4,DTX4,+
chr11,ENSG00000197629.6,ENST00000361050.4,MPEG1,-
chr11,ENSG00000176495.3,ENST00000641998.1,OR5AN1,+
chr11,ENSG00000172324.6,ENST00000302040.6,OR5A2,-
chr11,ENSG00000172320.4,ENST00000641045.1,OR5A1,+
chr11,ENSG00000166884.3,ENST00000300127.3,OR4D6,+
chr11,ENSG00000254466.2,ENST00000530162.2,OR4D10,+
chr11,ENSG00000176200.1,ENST00000313253.1,OR4D11,+
chr11,ENSG00000172742.6,ENST00000641962.1,OR4D9,+
chr11,ENSG00000110048.12,ENST00000263847.6,OSBP,-
chr11,ENSG00000166889.14,ENST00000300146.10,PATL1,-
chr11,ENSG00000172289.3,ENST00000307552.3,OR10V1,-
chr11,ENSG00000166900.17,ENST00000337979.9,STX3,+
chr11,ENSG00000166902.5,ENST00000300151.5,MRPL16,-
chr11,ENSG00000134812.8,ENST00000257248.3,CBLIF,-
chr11,ENSG00000134827.8,ENST00000257264.4,TCN1,-
chr11,ENSG00000285231.2,ENST00000646438.2,OOSP3,+
chr11,ENSG00000284873.1,ENST00000646685.1,OOSP1,+
chr11,ENSG00000285010.2,ENST00000645590.2,OOSP4A,+
chr11,ENSG00000255393.3,ENST00000642343.2,OOSP4B,+
chr11,ENSG00000149507.7,ENST00000278855.7,OOSP2,+
chr11,ENSG00000149516.15,ENST00000278865.8,MS4A3,+
chr11,ENSG00000149534.9,ENST00000278888.8,MS4A2,+
chr11,ENSG00000110077.16,ENST00000528851.6,MS4A6A,-
chr11,ENSG00000214787.11,ENST00000651255.1,MS4A4E,-
chr11,ENSG00000110079.19,ENST00000337908.5,MS4A4A,+
chr11,ENSG00000166926.9,ENST00000684409.1,MS4A6E,+
chr11,ENSG00000166927.13,ENST00000300184.8,MS4A7,+
chr11,ENSG00000166928.11,ENST00000300187.11,MS4A14,+
chr11,ENSG00000166930.7,ENST00000300190.7,MS4A5,+
chr11,ENSG00000156738.18,ENST00000345732.9,MS4A1,+
chr11,ENSG00000071203.9,ENST00000016913.8,MS4A12,+
chr11,ENSG00000204979.8,ENST00000378186.7,MS4A13,+
chr11,ENSG00000166959.8,ENST00000300226.7,MS4A8,+
chr11,ENSG00000214782.8,ENST00000529108.6,MS4A18,+
chr11,ENSG00000166961.15,ENST00000405633.4,MS4A15,+
chr11,ENSG00000172689.2,ENST00000308287.2,MS4A10,+
chr11,ENSG00000110104.13,ENST00000227520.10,CCDC86,+
chr11,ENSG00000183134.5,ENST00000332539.5,PTGDR2,-
chr11,ENSG00000149506.12,ENST00000278853.10,ZP1,+
chr11,ENSG00000110107.9,ENST00000227524.9,PRPF19,-
chr11,ENSG00000110108.11,ENST00000227525.8,TMEM109,+
chr11,ENSG00000006118.15,ENST00000453848.7,TMEM132A,+
chr11,ENSG00000110446.12,ENST00000227880.8,SLC15A3,-
chr11,ENSG00000013725.14,ENST00000313421.11,CD6,+
chr11,ENSG00000110448.11,ENST00000347785.8,CD5,+
chr11,ENSG00000167987.11,ENST00000301765.10,VPS37C,-
chr11,ENSG00000229859.10,ENST00000325558.11,PGA3,+
chr11,ENSG00000229183.10,ENST00000378149.9,PGA4,+
chr11,ENSG00000256713.8,ENST00000312403.10,PGA5,+
chr11,ENSG00000167992.14,ENST00000335613.10,VWCE,-
chr11,ENSG00000167986.15,ENST00000301764.12,DDB1,-
chr11,ENSG00000149476.16,ENST00000394900.8,TKFC,+
chr11,ENSG00000162144.10,ENST00000294072.9,CYB561A3,-
chr11,ENSG00000149483.13,ENST00000278826.11,TMEM138,+
chr11,ENSG00000187049.11,ENST00000515837.7,TMEM216,+
chr11,ENSG00000149532.16,ENST00000439958.8,CPSF7,-
chr11,ENSG00000167985.8,ENST00000301761.7,SDHAF2,+
chr11,ENSG00000162148.11,ENST00000338608.7,SAXO4,+
chr11,ENSG00000204950.4,ENST00000378075.4,LRRC10B,+
chr11,ENSG00000011347.10,ENST00000539008.6,SYT7,-
chr11,ENSG00000134780.10,ENST00000257215.10,DAGLA,+
chr11,ENSG00000124920.14,ENST00000278836.10,MYRF,+
chr11,ENSG00000134825.16,ENST00000537328.6,TMEM258,-
chr11,ENSG00000168496.4,ENST00000305885.3,FEN1,+
chr11,ENSG00000149485.19,ENST00000350997.12,FADS1,-
chr11,ENSG00000134824.14,ENST00000278840.9,FADS2,+
chr11,ENSG00000221968.9,ENST00000278829.7,FADS3,-
chr11,ENSG00000167994.13,ENST00000394836.7,RAB3IL1,-
chr11,ENSG00000167995.17,ENST00000378043.9,BEST1,+
chr11,ENSG00000167996.16,ENST00000273550.12,FTH1,-
chr11,ENSG00000149503.14,ENST00000394818.8,INCENP,+
chr11,ENSG00000168515.3,ENST00000306238.3,SCGB1D1,+
chr11,ENSG00000124939.6,ENST00000244930.6,SCGB2A1,+
chr11,ENSG00000124935.4,ENST00000244926.4,SCGB1D2,+
chr11,ENSG00000110484.7,ENST00000227918.3,SCGB2A2,+
chr11,ENSG00000197745.3,ENST00000358585.3,SCGB1D4,-
chr11,ENSG00000162174.12,ENST00000415229.6,ASRGL1,+
chr11,ENSG00000149021.7,ENST00000278282.3,SCGB1A1,+
chr11,ENSG00000124942.14,ENST00000378024.9,AHNAK,-
chr11,ENSG00000254772.10,ENST00000329251.5,EEF1G,-
chr11,ENSG00000149016.16,ENST00000476907.6,TUT1,-
chr11,ENSG00000149480.7,ENST00000278823.7,MTA2,-
chr11,ENSG00000149499.12,ENST00000394773.7,EML3,-
chr11,ENSG00000149489.9,ENST00000278833.4,ROM1,+
chr11,ENSG00000149541.10,ENST00000265471.10,B3GAT3,-
chr11,ENSG00000089597.18,ENST00000356638.8,GANAB,-
chr11,ENSG00000185085.2,ENST00000330574.2,INTS5,-
chr11,ENSG00000278615.5,ENST00000524958.6,C11orf98,-
chr11,ENSG00000214756.8,ENST00000532971.2,CSKMT,+
chr11,ENSG00000162194.13,ENST00000354588.8,LBHD1,-
chr11,ENSG00000204922.5,ENST00000377953.4,UQCC3,+
chr11,ENSG00000162191.14,ENST00000301935.10,UBXN1,-
chr11,ENSG00000177363.5,ENST00000317449.5,LRRN4CL,-
chr11,ENSG00000168000.16,ENST00000360796.10,BSCL2,-
chr11,ENSG00000162188.6,ENST00000294117.6,GNG3,+
chr11,ENSG00000214753.4,ENST00000301785.7,HNRNPUL2,-
chr11,ENSG00000162222.14,ENST00000316461.9,TTC9C,+
chr11,ENSG00000185670.9,ENST00000394807.5,ZBTB3,-
chr11,ENSG00000168002.12,ENST00000301788.12,POLR2G,+
chr11,ENSG00000162227.8,ENST00000294168.8,TAF6L,+
chr11,ENSG00000185475.11,ENST00000333449.9,TMEM179B,+
chr11,ENSG00000168569.8,ENST00000307366.8,TMEM223,-
chr11,ENSG00000162231.14,ENST00000294172.7,NXF1,-
chr11,ENSG00000162236.13,ENST00000294179.8,STX5,-
chr11,ENSG00000283268.2,ENST00000636508.2,TEX54,-
chr11,ENSG00000133316.16,ENST00000278856.9,WDR74,-
chr11,ENSG00000168003.19,ENST00000338663.12,SLC3A2,+
chr11,ENSG00000168539.4,ENST00000306960.4,CHRM1,-
chr11,ENSG00000197901.12,ENST00000360421.9,SLC22A6,-
chr11,ENSG00000149452.16,ENST00000336232.7,SLC22A8,-
chr11,ENSG00000197658.9,ENST00000612278.4,SLC22A24,-
chr11,ENSG00000196600.13,ENST00000306494.11,SLC22A25,-
chr11,ENSG00000184999.13,ENST00000332793.11,SLC22A10,+
chr11,ENSG00000149742.10,ENST00000279178.4,SLC22A9,+
chr11,ENSG00000168004.10,ENST00000540857.6,PLAAT5,-
chr11,ENSG00000133317.16,ENST00000394618.9,LGALS12,+
chr11,ENSG00000133321.12,ENST00000255688.8,PLAAT4,+
chr11,ENSG00000133328.4,ENST00000255695.2,PLAAT2,-
chr11,ENSG00000176485.14,ENST00000415826.3,PLAAT3,-
chr11,ENSG00000184743.13,ENST00000398868.8,ATL3,-
chr11,ENSG00000133318.14,ENST00000377819.10,RTN3,+
chr11,ENSG00000188070.9,ENST00000433688.2,ZFTA,-
chr11,ENSG00000168005.9,ENST00000294244.9,SPINDOC,+
chr11,ENSG00000072518.23,ENST00000402010.8,MARK2,+
chr11,ENSG00000167771.6,ENST00000301459.5,RCOR2,-
chr11,ENSG00000110583.13,ENST00000377793.9,NAA40,+
chr11,ENSG00000176340.4,ENST00000314133.4,COX8A,+
chr11,ENSG00000167770.13,ENST00000538426.6,OTUB1,+
chr11,ENSG00000133315.12,ENST00000255681.7,MACROD1,-
chr11,ENSG00000126500.5,ENST00000682287.1,FLRT1,+
chr11,ENSG00000168439.17,ENST00000305218.9,STIP1,+
chr11,ENSG00000149781.14,ENST00000345728.10,FERMT3,+
chr11,ENSG00000149743.14,ENST00000317459.11,TRPT1,-
chr11,ENSG00000149761.9,ENST00000279206.8,NUDT22,+
chr11,ENSG00000110011.14,ENST00000628077.3,DNAJC4,+
chr11,ENSG00000173511.10,ENST00000309422.7,VEGFB,+
chr11,ENSG00000286264.2,ENST00000652762.2,ENSG00000286264,+
chr11,ENSG00000173486.14,ENST00000309366.9,FKBP2,+
chr11,ENSG00000173457.11,ENST00000309318.8,PPP1R14B,-
chr11,ENSG00000149782.13,ENST00000279230.12,PLCB3,+
chr11,ENSG00000002330.14,ENST00000309032.8,BAD,-
chr11,ENSG00000173264.16,ENST00000438980.7,GPR137,+
chr11,ENSG00000182450.14,ENST00000422670.7,KCNK4,+
chr11,ENSG00000219435.6,ENST00000328404.8,CATSPERZ,+
chr11,ENSG00000173153.17,ENST00000000442.11,ESRRA,+
chr11,ENSG00000173113.8,ENST00000544844.6,TRMT112,-
chr11,ENSG00000126432.14,ENST00000265462.9,PRDX5,+
chr11,ENSG00000168071.22,ENST00000356786.10,CCDC88B,+
chr11,ENSG00000162302.13,ENST00000334205.9,RPS6KA4,+
chr11,ENSG00000168065.16,ENST00000301891.9,SLC22A11,+
chr11,ENSG00000197891.12,ENST00000377574.6,SLC22A12,+
chr11,ENSG00000110076.21,ENST00000265459.11,NRXN2,-
chr11,ENSG00000068831.19,ENST00000394432.8,RASGRP2,-
chr11,ENSG00000068976.14,ENST00000164139.4,PYGM,-
chr11,ENSG00000168066.22,ENST00000377390.8,SF1,-
chr11,ENSG00000168067.12,ENST00000294066.7,MAP4K2,-
chr11,ENSG00000133895.19,ENST00000450708.7,MEN1,-
chr11,ENSG00000171219.9,ENST00000342711.6,CDC42BPG,-
chr11,ENSG00000110047.18,ENST00000320631.8,EHD1,-
chr11,ENSG00000110046.14,ENST00000377264.8,ATG2A,-
chr11,ENSG00000068971.14,ENST00000164133.7,PPP2R5B,+
chr11,ENSG00000149735.7,ENST00000279168.7,GPHA2,-
chr11,ENSG00000168070.12,ENST00000301896.6,MAJIN,-
chr11,ENSG00000168062.10,ENST00000301887.9,BATF2,-
chr11,ENSG00000213465.8,ENST00000246747.9,ARL2,+
chr11,ENSG00000110025.13,ENST00000377244.8,SNX15,+
chr11,ENSG00000168061.17,ENST00000652489.1,SAC3D1,+
chr11,ENSG00000168060.16,ENST00000358658.8,NAALADL1,-
chr11,ENSG00000146670.10,ENST00000275517.8,CDCA5,-
chr11,ENSG00000162300.13,ENST00000294258.8,ZFPL1,+
chr11,ENSG00000187066.9,ENST00000530719.6,TMEM262,-
chr11,ENSG00000149823.10,ENST00000279281.8,VPS51,+
chr11,ENSG00000149809.17,ENST00000279263.14,TM7SF2,+
chr11,ENSG00000174276.7,ENST00000310597.6,ZNHIT2,-
chr11,ENSG00000149806.11,ENST00000529639.6,FAU,-
chr11,ENSG00000149792.9,ENST00000279242.7,MRPL49,+
chr11,ENSG00000162298.19,ENST00000377190.8,SYVN1,-
chr11,ENSG00000204710.3,ENST00000377185.3,SPDYC,+
chr11,ENSG00000014216.16,ENST00000279247.11,CAPN1,+
chr11,ENSG00000014138.10,ENST00000265465.8,POLA2,+
chr11,ENSG00000149798.5,ENST00000279249.3,CDC42EP2,+
chr11,ENSG00000133884.11,ENST00000528416.6,DPF2,+
chr11,ENSG00000173825.7,ENST00000309880.6,TIGD3,+
chr11,ENSG00000162241.13,ENST00000398802.6,SLC25A45,-
chr11,ENSG00000126391.14,ENST00000317568.10,FRMD8,+
chr11,ENSG00000142186.18,ENST00000270176.10,SCYL1,+
chr11,ENSG00000168056.18,ENST00000301873.11,LTBP3,-
chr11,ENSG00000173465.8,ENST00000309328.8,ZNRD2,+
chr11,ENSG00000176973.8,ENST00000530349.2,FAM89B,+
chr11,ENSG00000173442.13,ENST00000309295.9,EHBP1L1,+
chr11,ENSG00000173338.13,ENST00000340313.5,KCNK7,-
chr11,ENSG00000173327.8,ENST00000309100.8,MAP3K11,-
chr11,ENSG00000197136.5,ENST00000355703.4,PCNX3,+
chr11,ENSG00000213445.10,ENST00000534313.6,SIPA1,+
chr11,ENSG00000173039.20,ENST00000406246.8,RELA,-
chr11,ENSG00000172977.13,ENST00000341318.9,KAT5,+
chr11,ENSG00000172922.11,ENST00000308418.10,RNASEH2C,-
chr11,ENSG00000254470.3,ENST00000532090.3,AP5B1,-
chr11,ENSG00000172818.10,ENST00000335987.8,OVOL1,+
chr11,ENSG00000172803.18,ENST00000308342.7,SNX32,+
chr11,ENSG00000172757.13,ENST00000308162.10,CFL1,-
chr11,ENSG00000172732.12,ENST00000308110.9,MUS81,+
chr11,ENSG00000172638.13,ENST00000307998.11,EFEMP2,-
chr11,ENSG00000172543.9,ENST00000307886.8,CTSW,+
chr11,ENSG00000172500.13,ENST00000357519.9,FIBP,-
chr11,ENSG00000175602.4,ENST00000312579.4,CCDC85B,+
chr11,ENSG00000175592.9,ENST00000312562.7,FOSL1,-
chr11,ENSG00000175573.7,ENST00000438576.3,C11orf68,-
chr11,ENSG00000175550.8,ENST00000312515.7,DRAP1,+
chr11,ENSG00000175513.10,ENST00000532620.6,TSGA10IP,+
chr11,ENSG00000175467.15,ENST00000312397.10,SART1,+
chr11,ENSG00000175376.9,ENST00000533544.6,EIF1AD,-
chr11,ENSG00000175334.8,ENST00000312175.7,BANF1,+
chr11,ENSG00000175315.3,ENST00000312134.3,CST6,+
chr11,ENSG00000175294.6,ENST00000312106.6,CATSPER1,-
chr11,ENSG00000175229.7,ENST00000312006.5,GAL3ST3,-
chr11,ENSG00000087365.16,ENST00000322535.11,SF3B2,+
chr11,ENSG00000175115.13,ENST00000320580.9,PACS1,+
chr11,ENSG00000174996.12,ENST00000394067.7,KLC2,+
chr11,ENSG00000174903.16,ENST00000311481.11,RAB1B,+
chr11,ENSG00000174871.11,ENST00000311445.7,CNIH2,+
chr11,ENSG00000174851.17,ENST00000376901.9,YIF1A,-
chr11,ENSG00000179292.5,ENST00000327259.5,TMEM151A,+
chr11,ENSG00000174807.4,ENST00000311330.4,CD248,-
chr11,ENSG00000174791.11,ENST00000311320.9,RIN1,-
chr11,ENSG00000174744.14,ENST00000359957.8,BRMS1,-
chr11,ENSG00000174684.7,ENST00000311181.5,B4GAT1,-
chr11,ENSG00000174669.12,ENST00000357440.7,SLC29A2,-
chr11,ENSG00000174576.11,ENST00000311034.7,NPAS4,+
chr11,ENSG00000174547.13,ENST00000310999.11,MRPL11,-
chr11,ENSG00000174516.15,ENST00000320740.12,PELI3,+
chr11,ENSG00000254986.8,ENST00000531863.6,DPP3,+
chr11,ENSG00000174483.20,ENST00000318312.12,BBS1,+
chr11,ENSG00000174165.8,ENST00000310442.5,ZDHHC24,-
chr11,ENSG00000248746.6,ENST00000513398.2,ACTN3,+
chr11,ENSG00000174080.12,ENST00000310325.10,CTSF,-
chr11,ENSG00000182791.5,ENST00000333861.5,CCDC87,-
chr11,ENSG00000173992.9,ENST00000533244.6,CCS,+
chr11,ENSG00000239306.5,ENST00000310137.5,RBM14,+
chr11,ENSG00000173933.21,ENST00000310092.12,RBM4,+
chr11,ENSG00000173914.12,ENST00000310046.9,RBM4B,-
chr11,ENSG00000173898.16,ENST00000533211.6,SPTBN2,-
chr11,ENSG00000173715.19,ENST00000540737.7,TOP6BL,+
chr11,ENSG00000173653.8,ENST00000309657.8,RCE1,+
chr11,ENSG00000173599.15,ENST00000393960.7,PC,-
chr11,ENSG00000173621.9,ENST00000309602.5,LRFN4,+
chr11,ENSG00000173237.5,ENST00000683896.1,C11orf86,+
chr11,ENSG00000173227.14,ENST00000527043.6,SYT12,+
chr11,ENSG00000173156.7,ENST00000308831.7,RHOD,+
chr11,ENSG00000173120.15,ENST00000529006.7,KDM2A,+
chr11,ENSG00000173020.11,ENST00000308595.10,GRK2,+
chr11,ENSG00000172932.16,ENST00000511455.7,ANKRD13D,+
chr11,ENSG00000172830.13,ENST00000308127.9,SSH3,+
chr11,ENSG00000175482.9,ENST00000312419.8,POLD4,-
chr11,ENSG00000175505.11,ENST00000312438.8,CLCF1,-
chr11,ENSG00000172613.8,ENST00000307980.7,RAD9A,+
chr11,ENSG00000172531.16,ENST00000376745.9,PPP1CA,-
chr11,ENSG00000175463.12,ENST00000542590.2,TBC1D10C,+
chr11,ENSG00000172508.11,ENST00000687366.1,CARNS1,+
chr11,ENSG00000175634.15,ENST00000312629.10,RPS6KB2,+
chr11,ENSG00000213402.3,ENST00000326294.4,PTPRCAP,-
chr11,ENSG00000172725.14,ENST00000341356.10,CORO1B,-
chr11,ENSG00000175514.2,ENST00000312457.2,GPR152,-
chr11,ENSG00000175544.14,ENST00000325656.7,CABP4,+
chr11,ENSG00000172663.9,ENST00000308022.7,TMEM134,-
chr11,ENSG00000110711.11,ENST00000279146.8,AIP,+
chr11,ENSG00000110697.14,ENST00000356404.8,PITPNM1,-
chr11,ENSG00000167797.8,ENST00000301488.8,CDK2AP2,-
chr11,ENSG00000167791.14,ENST00000294288.5,CABP2,-
chr11,ENSG00000084207.18,ENST00000398606.10,GSTP1,+
chr11,ENSG00000167792.13,ENST00000322776.11,NDUFV1,+
chr11,ENSG00000167799.10,ENST00000376693.3,NUDT8,-
chr11,ENSG00000167800.10,ENST00000335385.4,TBX10,-
chr11,ENSG00000132744.8,ENST00000255082.8,ACY3,-
chr11,ENSG00000132746.16,ENST00000673966.2,ALDH3B2,-
chr11,ENSG00000110057.9,ENST00000227471.7,UNC93B1,-
chr11,ENSG00000006534.17,ENST00000342456.11,ALDH3B1,+
chr11,ENSG00000110717.13,ENST00000313468.10,NDUFS8,+
chr11,ENSG00000110719.11,ENST00000265686.8,TCIRG1,+
chr11,ENSG00000110721.12,ENST00000265689.9,CHKA,-
chr11,ENSG00000110066.16,ENST00000304363.9,KMT5B,-
chr11,ENSG00000171067.11,ENST00000304271.11,C11orf24,-
chr11,ENSG00000162337.12,ENST00000294304.12,LRP5,+
chr11,ENSG00000110075.15,ENST00000393800.7,PPP6R3,+
chr11,ENSG00000069482.7,ENST00000265643.4,GAL,+
chr11,ENSG00000132749.11,ENST00000255087.10,TESMIN,-
chr11,ENSG00000110090.13,ENST00000265641.10,CPT1A,-
chr11,ENSG00000197345.13,ENST00000362034.7,MRPL21,-
chr11,ENSG00000132740.10,ENST00000255078.8,IGHMBP2,+
chr11,ENSG00000172938.3,ENST00000309106.3,MRGPRD,-
chr11,ENSG00000172935.10,ENST00000309099.7,MRGPRF,-
chr11,ENSG00000162341.18,ENST00000294309.8,TPCN2,+
chr11,ENSG00000284713.2,ENST00000686237.1,SMIM38,+
chr11,ENSG00000172927.9,ENST00000441339.3,MYEOV,+
chr11,ENSG00000110092.4,ENST00000227507.3,CCND1,+
chr11,ENSG00000149716.13,ENST00000279147.9,LTO1,-
chr11,ENSG00000162344.4,ENST00000294312.4,FGF19,-
chr11,ENSG00000075388.4,ENST00000168712.3,FGF4,-
chr11,ENSG00000186895.4,ENST00000334134.4,FGF3,-
chr11,ENSG00000131620.18,ENST00000355303.10,ANO1,+
chr11,ENSG00000168040.5,ENST00000301838.5,FADD,+
chr11,ENSG00000131626.19,ENST00000253925.12,PPFIA1,+
chr11,ENSG00000085733.16,ENST00000301843.13,CTTN,+
chr11,ENSG00000162105.21,ENST00000601538.6,SHANK2,-
chr11,ENSG00000172893.18,ENST00000355527.8,DHCR7,-
chr11,ENSG00000172890.13,ENST00000319023.7,NADSYN1,+
chr11,ENSG00000244411.4,ENST00000398536.6,KRTAP5-7,+
chr11,ENSG00000241233.4,ENST00000398534.4,KRTAP5-8,+
chr11,ENSG00000254997.4,ENST00000528743.4,KRTAP5-9,+
chr11,ENSG00000204572.10,ENST00000398531.3,KRTAP5-10,+
chr11,ENSG00000204571.7,ENST00000398530.1,KRTAP5-11,-
chr11,ENSG00000184276.3,ENST00000328698.2,DEFB108B,+
chr11,ENSG00000225805.4,ENST00000530210.1,DEFB131B,+
chr11,ENSG00000254469.11,ENST00000679412.2,XNDC1N,-
chr11,ENSG00000137522.18,ENST00000361756.8,RNF121,+
chr11,ENSG00000137496.19,ENST00000393703.9,IL18BP,+
chr11,ENSG00000137497.19,ENST00000393695.8,NUMA1,-
chr11,ENSG00000184154.16,ENST00000289488.8,LRRC51,+
chr11,ENSG00000149357.10,ENST00000278671.10,LAMTOR1,-
chr11,ENSG00000284922.2,ENST00000307198.11,LRTOMT,+
chr11,ENSG00000110200.9,ENST00000227618.9,ANAPC15,-
chr11,ENSG00000110203.10,ENST00000611028.3,FOLR3,+
chr11,ENSG00000110195.14,ENST00000393676.5,FOLR1,+
chr11,ENSG00000165457.15,ENST00000298223.11,FOLR2,+
chr11,ENSG00000165458.15,ENST00000298229.7,INPPL1,+
chr11,ENSG00000165462.5,ENST00000298231.5,PHOX2A,-
chr11,ENSG00000162129.15,ENST00000538039.6,CLPB,-
chr11,ENSG00000186642.16,ENST00000334456.10,PDE2A,-
chr11,ENSG00000186635.16,ENST00000393609.8,ARAP1,-
chr11,ENSG00000214530.10,ENST00000334805.11,STARD10,-
chr11,ENSG00000168010.11,ENST00000321297.10,ATG16L2,+
chr11,ENSG00000137478.15,ENST00000409418.9,FCHSD2,-
chr11,ENSG00000175591.12,ENST00000393597.7,P2RY2,+
chr11,ENSG00000171631.16,ENST00000540124.6,P2RY6,+
chr11,ENSG00000110237.5,ENST00000263674.4,ARHGEF17,+
chr11,ENSG00000054967.13,ENST00000064780.7,RELT,+
chr11,ENSG00000054965.11,ENST00000356467.5,FAM168A,-
chr11,ENSG00000021300.14,ENST00000354190.10,PLEKHB1,+
chr11,ENSG00000175582.20,ENST00000336083.8,RAB6A,-
chr11,ENSG00000175581.14,ENST00000310614.12,MRPL48,+
chr11,ENSG00000181924.8,ENST00000355693.5,COA4,-
chr11,ENSG00000175575.13,ENST00000310571.8,PAAF1,+
chr11,ENSG00000187726.9,ENST00000339764.6,DNAJB13,+
chr11,ENSG00000175567.12,ENST00000663595.2,UCP2,-
chr11,ENSG00000175564.13,ENST00000314032.9,UCP3,-
chr11,ENSG00000168014.18,ENST00000334126.12,C2CD3,-
chr11,ENSG00000214517.10,ENST00000328257.13,PPME1,+
chr11,ENSG00000149380.12,ENST00000331597.9,P4HA3,-
chr11,ENSG00000165434.8,ENST00000298198.5,PGM2L1,-
chr11,ENSG00000175538.11,ENST00000310128.9,KCNE3,-
chr11,ENSG00000175536.7,ENST00000310109.5,LIPT2,-
chr11,ENSG00000077514.9,ENST00000263681.7,POLD3,+
chr11,ENSG00000054938.17,ENST00000376332.8,CHRDL2,-
chr11,ENSG00000166439.6,ENST00000299563.5,RNF169,+
chr11,ENSG00000166435.17,ENST00000684022.1,XRRA1,-
chr11,ENSG00000118363.13,ENST00000263672.11,SPCS2,+
chr11,ENSG00000162139.10,ENST00000294064.9,NEU3,+
chr11,ENSG00000171561.4,ENST00000641504.1,OR2AT4,-
chr11,ENSG00000137491.15,ENST00000289575.10,SLCO2B1,+
chr11,ENSG00000261594.4,ENST00000562197.3,TPBGL,+
chr11,ENSG00000137486.17,ENST00000420843.7,ARRB1,-
chr11,ENSG00000149273.15,ENST00000531188.6,RPS3,+
chr11,ENSG00000149243.17,ENST00000539798.3,KLHL35,-
chr11,ENSG00000158555.15,ENST00000336898.8,GDPD5,-
chr11,ENSG00000149257.16,ENST00000358171.8,SERPINH1,+
chr11,ENSG00000171533.12,ENST00000304771.8,MAP6,-
chr11,ENSG00000166391.15,ENST00000198801.10,MOGAT2,+
chr11,ENSG00000062282.15,ENST00000228027.12,DGAT2,+
chr11,ENSG00000198382.9,ENST00000356136.8,UVRAG,+
chr11,ENSG00000085741.14,ENST00000322563.8,WNT11,-
chr11,ENSG00000137492.9,ENST00000260045.8,THAP12,-
chr11,ENSG00000179240.13,ENST00000529331.2,GVQW3,+
chr11,ENSG00000158636.17,ENST00000695367.1,EMSY,+
chr11,ENSG00000137507.11,ENST00000260061.9,LRRC32,-
chr11,ENSG00000182704.8,ENST00000333090.5,TSKU,+
chr11,ENSG00000078124.13,ENST00000532485.6,ACER3,+
chr11,ENSG00000198488.10,ENST00000622824.1,B3GNT6,+
chr11,ENSG00000149260.18,ENST00000648180.1,CAPN5,+
chr11,ENSG00000254550.1,ENST00000529803.1,OMP,+
chr11,ENSG00000137474.23,ENST00000409709.9,MYO7A,+
chr11,ENSG00000178795.10,ENST00000315938.5,GDPD4,-
chr11,ENSG00000149269.10,ENST00000356341.8,PAK1,-
chr11,ENSG00000178301.4,ENST00000313578.4,AQP11,+
chr11,ENSG00000074201.9,ENST00000525428.6,CLNS1A,-
chr11,ENSG00000048649.14,ENST00000308488.11,RSF1,-
chr11,ENSG00000087884.16,ENST00000393427.7,AAMDC,+
chr11,ENSG00000149262.19,ENST00000534064.6,INTS4,-
chr11,ENSG00000151364.17,ENST00000353172.6,KCTD14,-
chr11,ENSG00000151365.2,ENST00000281030.2,THRSP,+
chr11,ENSG00000151366.13,ENST00000281031.5,NDUFC2,-
chr11,ENSG00000159063.14,ENST00000299626.10,ALG8,-
chr11,ENSG00000188997.8,ENST00000340067.4,KCTD21,-
chr11,ENSG00000118369.13,ENST00000529308.6,USP35,+
chr11,ENSG00000033327.13,ENST00000361507.5,GAB2,-
chr11,ENSG00000137513.11,ENST00000281038.10,NARS2,-
chr11,ENSG00000149256.16,ENST00000278550.12,TENM4,-
chr11,ENSG00000182103.5,ENST00000329203.5,FAM181B,-
chr11,ENSG00000137509.12,ENST00000313010.8,PRCP,-
chr11,ENSG00000165490.13,ENST00000533655.6,DDIAS,+
chr11,ENSG00000137502.10,ENST00000527633.6,RAB30,-
chr11,ENSG00000165494.12,ENST00000690938.1,PCF11,+
chr11,ENSG00000137494.14,ENST00000533342.6,ANKRD42,+
chr11,ENSG00000137500.10,ENST00000529689.6,CCDC90B,-
chr11,ENSG00000150672.19,ENST00000376104.7,DLG2,-
chr11,ENSG00000171204.13,ENST00000358867.11,TMEM126B,+
chr11,ENSG00000171202.7,ENST00000304511.7,TMEM126A,+
chr11,ENSG00000137504.16,ENST00000527447.2,CREBZF,-
chr11,ENSG00000179071.5,ENST00000316398.5,CCDC89,-
chr11,ENSG00000137501.18,ENST00000359152.10,SYTL2,-
chr11,ENSG00000150676.13,ENST00000342404.8,CCDC83,+
